,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
0,DK49336,Arizona,4809.22,No,Basic,College,2011-02-18,Employed,M,48029,Suburban,Married,61,7,52,0,9,Corporate Auto,Corporate L3,Offer3,Agent,292.8,Four-Door Car,Medsize,A,2
1,KX64629,California,2228.53,No,Basic,College,2011-01-18,Unemployed,F,0,Suburban,Single,64,3,26,0,1,Personal Auto,Personal L3,Offer4,Call Center,744.92,Four-Door Car,Medsize,A,1
2,LZ68649,Washington,14947.92,No,Basic,Bachelor,2011-02-10,Employed,M,22139,Suburban,Single,100,34,31,0,2,Personal Auto,Personal L3,Offer3,Call Center,480.0,SUV,Medsize,A,2
3,XL78013,Oregon,22332.44,Yes,Extended,College,2011-01-11,Employed,M,49078,Suburban,Single,97,10,3,0,2,Corporate Auto,Corporate L3,Offer2,Branch,484.01,Four-Door Car,Medsize,A,1
4,QA50777,Oregon,9025.07,No,Premium,Bachelor,2011-01-17,Medical Leave,F,23675,Suburban,Married,117,15,31,0,7,Personal Auto,Personal L2,Offer1,Branch,707.93,Four-Door Car,Medsize,A,1
5,HO81102,California,4745.18,No,Basic,High School or Below,2011-02-14,Employed,M,50549,Suburban,Divorced,61,2,73,0,7,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,Medsize,A,2
6,IW72280,California,5035.04,No,Basic,Doctor,2011-02-14,Employed,F,37405,Urban,Married,63,8,99,3,4,Corporate Auto,Corporate L2,Offer2,Branch,287.56,Four-Door Car,Medsize,A,2
7,IH64929,California,4956.25,No,Basic,High School or Below,2011-02-24,Employed,M,87197,Urban,Single,63,35,45,0,3,Personal Auto,Personal L2,Offer2,Branch,247.4,Two-Door Car,Medsize,A,2
8,FM55990,California,5989.77,Yes,Premium,College,2011-01-19,Employed,M,66839,Suburban,Single,154,33,24,0,1,Personal Auto,Personal L1,Offer2,Branch,739.2,Sports Car,Medsize,A,1
9,QX31376,Oregon,17114.33,No,Extended,Master,2011-01-04,Employed,F,70961,Suburban,Married,85,19,8,0,2,Corporate Auto,Corporate L3,Offer2,Agent,408.0,Four-Door Car,Small,A,1
10,HG93801,Arizona,5154.76,No,Extended,High School or Below,2011-01-02,Employed,M,82730,Urban,Married,127,13,31,0,1,Corporate Auto,Corporate L3,Offer2,Branch,442.52,SUV,Large,A,1
11,GE63585,California,2420.71,No,Basic,Bachelor,2011-02-07,Employed,M,31710,Urban,Divorced,62,5,29,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,199.55,Two-Door Car,Medsize,A,2
12,EO51920,Oregon,19955.26,No,Extended,High School or Below,2011-01-31,Employed,F,69096,Rural,Married,99,24,32,0,2,Corporate Auto,Corporate L3,Offer1,Agent,64.67,Four-Door Car,Medsize,A,1
13,KR82385,California,5454.59,No,Basic,Master,2011-01-26,Employed,M,66334,Suburban,Single,69,25,25,0,4,Personal Auto,Personal L3,Offer4,Call Center,331.2,Two-Door Car,Medsize,A,1
14,TL59568,Arizona,12836.01,No,Premium,High School or Below,2011-02-28,Unemployed,M,0,Suburban,Married,116,6,28,0,2,Personal Auto,Personal L2,Offer3,Agent,835.2,Two-Door Car,Medsize,A,2
15,CW49887,California,4626.8,Yes,Basic,Master,2011-01-16,Employed,F,79487,Suburban,Divorced,114,20,87,0,1,Special Auto,Special L1,Offer2,Branch,547.2,SUV,Medsize,A,1
16,FH51383,California,5326.68,No,Basic,High School or Below,2011-02-07,Employed,F,76717,Urban,Married,66,26,10,0,6,Personal Auto,Personal L3,Offer4,Call Center,300.53,Two-Door Car,Large,A,2
17,TR26615,Oregon,2497.53,No,Basic,High School or Below,2011-01-17,Unemployed,M,0,Urban,Married,69,5,74,0,1,Corporate Auto,Corporate L2,Offer2,Branch,272.38,Two-Door Car,Medsize,A,1
18,ZC97968,California,2736.35,No,Basic,College,2011-02-14,Disabled,M,17533,Suburban,Married,73,10,1,0,1,Personal Auto,Personal L3,Offer1,Agent,350.4,Two-Door Car,Medsize,A,2
19,NJ54277,California,3746.75,Yes,Extended,College,2011-02-26,Employed,F,41479,Rural,Married,94,14,38,1,1,Personal Auto,Personal L2,Offer2,Call Center,19.58,Two-Door Car,Large,A,2
20,OM80593,California,7247.31,No,Basic,Bachelor,2011-02-23,Unemployed,F,0,Suburban,Single,104,9,58,0,7,Personal Auto,Personal L3,Offer1,Call Center,499.2,SUV,Medsize,A,2
21,RL65736,Oregon,6274.45,No,Extended,High School or Below,2011-02-14,Medical Leave,F,13662,Suburban,Single,85,29,37,0,3,Personal Auto,Personal L1,Offer1,Agent,408.0,Four-Door Car,Small,A,2
22,EQ62488,Oregon,15031.56,No,Basic,College,2011-01-15,Employed,F,59456,Suburban,Married,189,11,7,0,8,Personal Auto,Personal L3,Offer2,Call Center,907.2,Luxury Car,Large,A,1
23,NQ71171,California,5107.07,No,Basic,Bachelor,2011-02-02,Employed,M,70174,Rural,Married,64,15,80,0,7,Personal Auto,Personal L2,Offer1,Agent,128.9,Four-Door Car,Medsize,A,2
24,YK32760,Oregon,2502.21,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Divorced,74,26,95,1,1,Corporate Auto,Corporate L1,Offer1,Agent,355.2,Four-Door Car,Medsize,A,2
25,AY59197,Nevada,9521.22,No,Extended,College,2011-01-24,Employed,M,27769,Rural,Married,121,24,78,0,6,Special Auto,Special L3,Offer4,Agent,123.15,SUV,Small,A,1
26,XF15789,Arizona,8869.62,No,Basic,College,2011-02-21,Employed,F,81350,Rural,Married,110,1,28,0,9,Personal Auto,Personal L3,Offer3,Branch,228.19,SUV,Large,A,2
27,MQ68407,Oregon,4376.36,Yes,Premium,Bachelor,2011-02-28,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L3,Offer2,Agent,60.04,Four-Door Car,Medsize,A,2
28,CI99444,Nevada,2926.89,No,Basic,College,2011-02-22,Employed,F,92381,Urban,Married,72,24,27,0,1,Special Auto,Special L2,Offer2,Call Center,234.77,Four-Door Car,Medsize,A,2
29,BD70337,California,24706.92,No,Basic,High School or Below,2011-01-07,Medical Leave,M,26307,Urban,Married,73,26,1,0,2,Personal Auto,Personal L2,Offer4,Call Center,313.19,Four-Door Car,Medsize,A,1
30,GX19342,California,8491.47,No,Premium,High School or Below,2011-01-28,Unemployed,F,0,Suburban,Single,116,3,97,0,3,Personal Auto,Personal L3,Offer1,Branch,1193.12,Four-Door Car,Large,A,1
31,DP19210,California,9191.73,No,Basic,Master,2011-02-08,Employed,F,23823,Suburban,Married,115,5,39,0,6,Corporate Auto,Corporate L2,Offer2,Branch,567.48,Sports Car,Medsize,A,2
32,OJ63606,Arizona,5776.34,No,Premium,High School or Below,2011-01-28,Medical Leave,F,27510,Suburban,Married,159,5,28,3,1,Corporate Auto,Corporate L3,Offer1,Call Center,871.46,SUV,Small,A,1
33,OH23893,California,9115.57,No,Basic,Bachelor,2011-02-15,Employed,F,69588,Rural,Married,114,19,45,0,6,Personal Auto,Personal L1,Offer1,Branch,173.08,SUV,Medsize,A,2
